dataset,base_pub,cand_a_pub,cand_b_pub,base_prv,cand_a_prv,cand_b_prv
train_01,0.7102870983349717,0.7110439002723846,0.7120443028334154,0.7048178137651822,0.7016672800883328,0.7032823926645437
train_02,0.9643700590861614,0.9627577019374527,0.9637706852765888,0.9634800627240143,0.9617631528417819,0.9633635752688173
train_03,0.79257860385303,0.7905237099268083,0.788719717236867,0.8095448403699343,0.8072298699827374,0.8062374426417961
train_04,0.8236471114650334,0.823014660319964,0.8237423312097997,0.8249596159615962,0.8254233423342335,0.8291193919391939
train_05,0.6531348175078051,0.649576262564848,0.6454809163949868,0.6568729335399399,0.6560091030261113,0.6549115517887837
train_06,0.7996932479509196,0.7983506877361102,0.7990033278405324,0.8137084747042992,0.8129766344019995,0.8139578093185532
train_07,0.823647674944289,0.8237803409468256,0.8261856123800265,0.826507438189261,0.825924430487254,0.8277067408845233
train_08,0.8460265451826358,0.8463092727603303,0.8473068617735029,0.8411095500558378,0.8402744255116459,0.8403148528405201
train_09,0.6102264684217845,0.60430907856392,0.614581698081897,0.6193777832963894,0.6151214829718384,0.6216603443538975
train_10,0.8368071738891478,0.8405553344888533,0.8381897341103576,0.8477427122593616,0.8474732359986359,0.8468305895241265
train_11,0.8281288505544799,0.8249335104255011,0.8301200172824887,0.8166544351437908,0.814792169776099,0.821179138017046
train_12,0.7948877046382947,0.7955801856354674,0.7947605844552417,0.7695051699332349,0.7707525331264848,0.7709170935477594
train_13,0.6180715122860492,0.6121981287925151,0.621376165504662,0.6244456977827912,0.6178996715986864,0.6244504178016712
train_14,0.7975249216637995,0.7950509153303432,0.796194038256738,0.8044250066087149,0.8051296428221676,0.804636469480539
train_15,0.8262887871004525,0.8272968543595708,0.8351505914512118,0.8250880940617473,0.8255535117509164,0.8303955842296384
train_16,0.8868072407240725,0.8873821782178218,0.892160096009601,0.8849075882708338,0.8852506361746574,0.89325466058738
