dataset,base_pub,L0.5_pub,L1.0_pub,L2.0_pub,base_prv,L0.5_prv,L1.0_prv,L2.0_prv,L0.5_l2,L1.0_l2,L2.0_l2
train_01,0.7102870983349717,0.7102870983349717,0.7102870983349717,0.7102870983349717,0.7048178137651822,0.7048178137651822,0.7048178137651822,0.7048178137651822,0.0,0.0,0.0
train_02,0.9643700590861614,0.9643700590861614,0.9643700590861614,0.9643700590861614,0.9634800627240143,0.9634800627240143,0.9634800627240143,0.9634800627240143,0.0,0.0,0.0
train_03,0.79257860385303,0.79257860385303,0.79257860385303,0.79257860385303,0.8095448403699343,0.8095448403699343,0.8095448403699343,0.8095448403699343,0.0,0.0,0.0
train_04,0.8236471114650334,0.8236471114650334,0.8236471114650334,0.8236471114650334,0.8249596159615962,0.8249596159615962,0.8249596159615962,0.8249596159615962,0.0,0.0,0.0
train_05,0.6531348175078051,0.6531348175078051,0.6531348175078051,0.6531348175078051,0.6568729335399399,0.6568729335399399,0.6568729335399399,0.6568729335399399,0.0,0.0,0.0
train_06,0.7996932479509196,0.7996932479509196,0.7996932479509196,0.7996932479509196,0.8137084747042992,0.8137084747042992,0.8137084747042992,0.8137084747042992,0.0,0.0,0.0
train_07,0.823647674944289,0.823647674944289,0.823647674944289,0.823647674944289,0.826507438189261,0.826507438189261,0.826507438189261,0.826507438189261,0.0,0.0,0.0
train_08,0.8460265451826358,0.8460265451826358,0.8460265451826358,0.8460265451826358,0.8411095500558378,0.8411095500558378,0.8411095500558378,0.8411095500558378,0.0,0.0,0.0
train_09,0.6102264684217845,0.6142235630150492,0.614581698081897,0.6160300807852215,0.6193777832963894,0.6244307798358252,0.6216603443538975,0.6224784820816956,0.5,1.0,2.0
train_10,0.8368071738891478,0.8368071738891478,0.8368071738891478,0.8368071738891478,0.8477427122593616,0.8477427122593616,0.8477427122593616,0.8477427122593616,0.0,0.0,0.0
train_11,0.8281288505544799,0.8281288505544799,0.8281288505544799,0.8281288505544799,0.8166544351437908,0.8166544351437908,0.8166544351437908,0.8166544351437908,0.0,0.0,0.0
train_12,0.7948877046382947,0.7948877046382947,0.7948877046382947,0.7948877046382947,0.7695051699332349,0.7695051699332349,0.7695051699332349,0.7695051699332349,0.0,0.0,0.0
train_13,0.6180715122860492,0.6179261517046069,0.621376165504662,0.6249316197264789,0.6244456977827912,0.6227747310989243,0.6244504178016712,0.6305992423969695,0.5,1.0,2.0
train_14,0.7975249216637995,0.7975249216637995,0.7975249216637995,0.7975249216637995,0.8044250066087149,0.8044250066087149,0.8044250066087149,0.8044250066087149,0.0,0.0,0.0
train_15,0.8262887871004525,0.8343065872185458,0.8351505914512118,0.8309368126859615,0.8250880940617473,0.8286912400164465,0.8303955842296384,0.8231302348486775,0.5,1.0,2.0
train_16,0.8868072407240725,0.8900442044204419,0.892160096009601,0.8911065506550655,0.8849075882708338,0.8889772820365781,0.89325466058738,0.8931184974501812,0.5,1.0,2.0
