dataset,fires,n_train,n_object_cols,l2_fired,msl,base_pub,base_prv,cand_pub,cand_d_pub,cand_prv,cand_d_prv
train_01,False,14957,5,False,20,0.7102870983349717,0.7048178137651822,0.7102870983349717,0.0,0.7048178137651822,0.0
train_02,False,14929,2,False,20,0.9643700590861614,0.9634800627240143,0.9643700590861614,0.0,0.9634800627240143,0.0
train_03,True,3501,7,False,20,0.79257860385303,0.8095448403699343,0.7994244632865726,0.006845859433542545,0.8160000985706614,0.00645525820072701
train_04,False,8775,0,False,20,0.8236471114650334,0.8249596159615962,0.8236471114650334,0.0,0.8249596159615962,0.0
train_05,True,1060,5,False,20,0.6531348175078051,0.6568729335399399,0.6560039790320582,0.0028691615242530943,0.6607057613718614,0.0038328278319215148
train_06,False,10803,9,False,20,0.7996932479509196,0.8137084747042992,0.7996932479509196,0.0,0.8137084747042992,0.0
train_07,False,10417,6,False,20,0.823647674944289,0.826507438189261,0.823647674944289,0.0,0.826507438189261,0.0
train_08,False,8173,12,False,20,0.8460265451826358,0.8411095500558378,0.8460265451826358,0.0,0.8411095500558378,0.0
train_09,True,1109,4,True,50,0.6204240363998369,0.6334741379351727,0.6302716305659158,0.009847594166078943,0.6398176255316574,0.0063434875964847315
train_10,False,11800,0,False,20,0.8368071738891478,0.8477427122593616,0.8368071738891478,0.0,0.8477427122593616,0.0
train_11,False,28879,0,False,20,0.8281288505544799,0.8166544351437908,0.8281288505544799,0.0,0.8166544351437908,0.0
train_12,False,49432,3,False,20,0.7948877046382947,0.7695051699332349,0.7948877046382947,0.0,0.7695051699332349,0.0
train_13,True,500,4,True,50,0.6283801935207741,0.644000096000384,0.6353388613554454,0.0069586678346712505,0.6490994763979057,0.005099380397521669
train_14,False,11108,15,False,20,0.7975249216637995,0.8044250066087149,0.7975249216637995,0.0,0.8044250066087149,0.0
train_15,True,500,24,True,70,0.8410969558065426,0.843626698522491,0.851260780341376,0.010163824534833332,0.8563091705050022,0.012682471982511268
train_16,False,1809,0,True,20,0.892160096009601,0.89325466058738,0.892160096009601,0.0,0.89325466058738,0.0
