dataset,n_train,n_object_cols,l2_fired,msl,liftR1,liftR3,liftR5,liftR10,rank_R1,rank_R10,base_pub,base_prv,avg_pub,avg_prv,d_pub,d_prv,test_gain,fires_C,fires_D,fires_Grep_R1_eps0,fires_Grep_R10_eps0
train_01,14957,5,False,20,0.004513126286890823,0.002945311904217133,0.0020340597117364024,0.0027874485243651213,9,4,0.7102870983349717,0.7048178137651822,0.7134039063140003,0.7076811060792754,0.0031168079790285796,0.002863292314093213,GAIN,True,True,True,True
train_02,14929,2,False,20,0.0014415748818062957,0.0031913478715575407,0.003679661508343135,0.003427974360520003,6,5,0.9643700590861614,0.9634800627240143,0.9680789445388821,0.9669652457757297,0.003708885452720745,0.0034851830517154125,GAIN,True,True,True,True
train_03,3501,7,False,20,0.012224492774777329,0.006160032251113834,0.0048908397105740685,0.006519903246658476,15,9,0.79257860385303,0.8095448403699343,0.7994244632865726,0.8160000985706614,0.006845859433542545,0.00645525820072701,GAIN,True,True,True,True
train_04,8775,0,False,20,0.0038299817184642704,0.004635754251841965,0.005943659631045373,0.005904437427289333,8,7,0.8236471114650334,0.8249596159615962,0.829953379132697,0.8329789778977896,0.006306267667663512,0.008019361936193459,GAIN,False,True,True,True
train_05,1060,5,False,20,0.006323345106528655,0.004614332915574855,0.009747066195738906,0.013190725760510447,12,15,0.6531348175078051,0.6568729335399399,0.6560039790320582,0.6607057613718614,0.0028691615242530943,0.0038328278319215148,GAIN,True,True,True,True
train_06,10803,9,False,20,-0.000400002193294946,0.0009891760886969008,0.000528474453595451,0.0011729468016274613,3,2,0.7996932479509196,0.8137084747042992,0.8002211680353869,0.8141016808321695,0.0005279200844673371,0.00039320612787030473,GAIN,True,True,False,True
train_07,10417,6,False,20,0.01040878122634381,0.0071225423956646034,0.007558113484309325,0.006468006631434242,13,8,0.823647674944289,0.826507438189261,0.8289275898076023,0.8291196903769802,0.005279914863313251,0.0026122521877192106,GAIN,True,True,True,True
train_08,8173,12,False,20,0.003085249042145577,0.0029909003831417222,0.0023549808429118137,0.0025237068965516807,7,3,0.8460265451826358,0.8411095500558378,0.8491551943129904,0.8428696999171441,0.0031286491303545994,0.0017601498613063482,GAIN,True,True,True,True
train_09,1109,4,True,50,0.047461311526318495,0.014284974897779615,0.008312199161534117,0.007991304797888333,16,12,0.6204240363998369,0.6334741379351727,0.6302716305659158,0.6398176255316574,0.009847594166078943,0.0063434875964847315,GAIN,True,True,True,True
train_10,11800,0,False,20,0.010688277644249178,0.008379601092928938,0.008558160400926496,0.008152793693212923,14,13,0.8368071738891478,0.8477427122593616,0.8446204551392729,0.8570319622208364,0.007813281250125037,0.009289249961474844,GAIN,False,True,True,True
train_11,28879,0,False,20,0.005638767574531078,0.006962527132505077,0.007147457509152156,0.007384742791179977,10,11,0.8281288505544799,0.8166544351437908,0.8315520634971435,0.8213746182452055,0.003423212942663567,0.004720183101414754,GAIN,False,True,True,True
train_12,49432,3,False,20,0.0007272529263179228,0.0003026587209685368,0.0004272606503470611,0.0007182012048402298,4,1,0.7948877046382947,0.7695051699332349,0.7961028263880701,0.7715084550616449,0.0012151217497753386,0.0020032851284099706,GAIN,True,True,True,True
train_13,500,4,True,50,-0.01817716333845365,-0.001322751322751355,0.016973886328725006,0.01621863799283154,1,16,0.6283801935207741,0.644000096000384,0.6353388613554454,0.6490994763979057,0.0069586678346712505,0.005099380397521669,GAIN,True,True,False,True
train_14,11108,15,False,20,0.005926131100024712,0.005356609461680817,0.004717620945792911,0.004998870365120855,11,6,0.7975249216637995,0.8044250066087149,0.8019428529737036,0.8073844467017552,0.0044179313099040884,0.0029594400930403886,GAIN,True,True,True,True
train_15,500,24,True,70,0.0007680491551459445,0.012459464072367385,0.011725550435227916,0.011904761904761928,5,14,0.8410969558065426,0.843626698522491,0.851260780341376,0.8563091705050022,0.010163824534833332,0.012682471982511268,GAIN,True,True,True,True
train_16,1809,0,True,20,-0.0017933024053641278,0.0022156381167726482,0.007789170012865077,0.007181006588437122,2,10,0.892160096009601,0.89325466058738,0.8897764976497649,0.8886729550248839,-0.0023835983598361477,-0.004581705562496152,REG,False,False,False,True
