dataset,n_train,n_object_cols,fires,msl,base_is_seed0,base_pub,base_prv,cand_K10_pub,cand_K10_d_pub,cand_K10_prv,cand_K10_d_prv,cand_K12_pub,cand_K12_d_pub,cand_K12_prv,cand_K12_d_prv,cand_K15_pub,cand_K15_d_pub,cand_K15_prv,cand_K15_d_prv,cand_K20_pub,cand_K20_d_pub,cand_K20_prv,cand_K20_d_prv
train_01,14957,5,True,20,True,0.7102870983349717,0.7048178137651822,0.7139514277156549,0.0036643293806831734,0.7085393096605912,0.003721495895409044,0.713751747204473,0.0034646488695012634,0.7084154518250628,0.00359763805988067,0.7138850275456705,0.0035979292106987915,0.7085681138083884,0.0037503000432062006,0.7143547887482593,0.0040676904132875835,0.7087300571282266,0.00391224336304441
train_02,14929,2,True,20,True,0.9643700590861614,0.9634800627240143,0.9687919209658591,0.0044218618796977305,0.9675616039426523,0.0040815412186380184,0.9690460068199971,0.004675947733835728,0.9677124935995904,0.004232430875576121,0.9693032927478649,0.004933233661703507,0.9677500960061445,0.004270033282130159,0.969504897392836,0.005134838306674605,0.9679414682539683,0.004461405529953999
train_03,3501,7,True,20,True,0.79257860385303,0.8095448403699343,0.800472551996801,0.007893948143770979,0.8168217874445299,0.0072769470745955855,0.8004346287869806,0.007856024933950545,0.8164307051450685,0.006885864775134198,0.8006872901722402,0.008108686319210134,0.8166184054467331,0.007073565076798793,0.8007197729215801,0.008141169068550114,0.8169914057904504,0.007446565420516027
train_04,8775,0,False,20,,0.8236471114650334,0.8249596159615962,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0
train_05,1060,5,True,20,True,0.6531348175078051,0.6568729335399399,0.6615313025145798,0.008396485006774701,0.6652052653654373,0.008332331825497419,0.6611431081726045,0.008008290664799356,0.6649482605849244,0.008075327044984482,0.6615742394042411,0.008439421896435984,0.664508583975672,0.007635650435732111,0.6618868135524845,0.008751996044679355,0.6653114438659792,0.008438510326039261
train_06,10803,9,True,20,True,0.7996932479509196,0.8137084747042992,0.8002022080323533,0.0005089600814337514,0.8142076240379693,0.0004991493336701236,0.8003444480551117,0.0006512001041921733,0.814174336746721,0.0004658620424218274,0.8004705280752844,0.0007772801243648431,0.814270517814222,0.0005620431099228052,0.8006132480981196,0.0009200001472000618,0.8143950250862949,0.0006865503819957208
train_07,10417,6,True,20,True,0.823647674944289,0.826507438189261,0.8296328480382154,0.0059851730939263215,0.8290131070309641,0.0025056688417031125,0.8292809390640565,0.0056332641197675,0.8291380944081991,0.002630656218938099,0.8293952014594861,0.0057475265151970545,0.8292838863424645,0.002776448153203548,0.8295353889362315,0.005887713991942434,0.8298361673140886,0.003328729124827623
train_08,8173,12,True,20,True,0.8460265451826358,0.8411095500558378,0.8496766358347162,0.00365009065208044,0.8428299930753188,0.0017204430194810438,0.8497195291213406,0.0036929839387048746,0.8428825085757972,0.0017729585199594,0.8494440837993977,0.0034175386167619726,0.8426132065276127,0.0015036564717749723,0.8495529175117283,0.0035263723290925864,0.842833035131749,0.0017234850759112463
train_09,1109,4,True,50,True,0.6204240363998369,0.6334741379351727,0.6315217427831703,0.011097706383333406,0.6427789544830282,0.009304816547855532,0.6311829706935739,0.010758934293736977,0.6425510984055034,0.009076960470330686,0.6318963603843727,0.011472323984535793,0.6433401140784494,0.009865976143276667,0.6318560341838161,0.011431997783979186,0.6448150981533256,0.011340960218152896
train_10,11800,0,False,20,,0.8368071738891478,0.8477427122593616,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0
train_11,28879,0,False,20,,0.8281288505544799,0.8166544351437908,0.8281288505544799,0.0,0.8166544351437908,0.0,0.8281288505544799,0.0,0.8166544351437908,0.0,0.8281288505544799,0.0,0.8166544351437908,0.0,0.8281288505544799,0.0,0.8166544351437908,0.0
train_12,49432,3,True,20,True,0.7948877046382947,0.7695051699332349,0.7964709069181061,0.0015832022798113465,0.7718418959152535,0.002336725982018617,0.7964336268644227,0.001545922226127927,0.7718378959050135,0.002332725971778582,0.7964099468303234,0.0015222421920286777,0.7718474959295896,0.002342325996354644,0.7962025865317246,0.0013148818934298756,0.7719454161802654,0.002440246247030431
train_13,500,4,True,50,True,0.6283801935207741,0.644000096000384,0.6357132628530514,0.007333069332277287,0.6502162808651235,0.006216184864739516,0.6354814219256877,0.007101228404913562,0.6501407605630423,0.006140664562658271,0.6348930995723981,0.006512906051624023,0.6491635566542266,0.005163460653842655,0.6346465385861544,0.006266345065380263,0.6487909151636606,0.004790819163276616
train_14,11108,15,True,20,True,0.7975249216637995,0.8044250066087149,0.8010366106537233,0.0035116889899238224,0.8084732044617946,0.004048197853079749,0.8011393309166871,0.003614409252887585,0.8083461507196618,0.003921144110946906,0.8012887712992545,0.003763849635454952,0.8079317058933094,0.003506699284594572,0.8019540530023757,0.004429131338576142,0.808433680186849,0.00400867357813417
train_15,500,24,True,70,True,0.8410969558065426,0.843626698522491,0.8525452737923801,0.011448317985837453,0.8573192293208023,0.013692530798311342,0.8535885545791271,0.012491598772584434,0.8580332005420483,0.014406502019557399,0.8533695904618718,0.012272634655329129,0.8579322106652033,0.014305512142712362,0.8534116866335372,0.012314730826994524,0.8580812147465705,0.014454516224079561
train_16,1809,0,False,20,,0.892160096009601,0.89325466058738,0.892160096009601,0.0,0.89325466058738,0.0,0.892160096009601,0.0,0.89325466058738,0.0,0.892160096009601,0.0,0.89325466058738,0.0,0.892160096009601,0.0,0.89325466058738,0.0
