dataset,n_train,n_object_cols,l2,msl,base_pub,base_prv,cand_es_auc_pub,cand_es_auc_prv,d_pub,d_prv
train_01,14957,5,0.0,20,0.7102870983349717,0.7048178137651822,0.7111407005201933,0.7052037093341441,0.0008536021852215692,0.0003858955689619581
train_02,14929,2,0.0,20,0.9643700590861614,0.9634800627240143,0.9634209172179327,0.9621023745519713,-0.0009491418682286978,-0.001377688172042979
train_03,3501,7,0.0,20,0.79257860385303,0.8095448403699343,0.79257860385303,0.8095448403699343,0.0,0.0
train_04,8775,0,0.0,20,0.8236471114650334,0.8249596159615962,0.8229600089874636,0.8274077807780779,-0.0006871024775698675,0.0024481648164816905
train_05,1060,5,0.0,20,0.6531348175078051,0.6568729335399399,0.6522342643108413,0.6552442497580778,-0.0009005531969638048,-0.0016286837818620947
train_06,10803,9,0.0,20,0.7996932479509196,0.8137084747042992,0.8004966080794572,0.8146293964229924,0.0008033601285376557,0.0009209217186931795
train_07,10417,6,0.0,20,0.823647674944289,0.826507438189261,0.823647674944289,0.826507438189261,0.0,0.0
train_08,8173,12,0.0,20,0.8460265451826358,0.8411095500558378,0.8478317443611332,0.8431094619963095,0.0018051991784974186,0.001999911940471777
train_09,1109,4,1.0,50,0.6204240363998369,0.6334741379351727,0.6204530808657138,0.6266660575570212,2.9044465876926218e-05,-0.006808080378151504
train_10,11800,0,0.0,20,0.8368071738891478,0.8477427122593616,0.8373113339698133,0.8478888119185317,0.00050416008066545,0.00014609965917011802
train_11,28879,0,0.0,20,0.8281288505544799,0.8166544351437908,0.8271165447824487,0.8134897687473706,-0.0010123057720312634,-0.0031646663964202126
train_12,49432,3,0.0,20,0.7948877046382947,0.7695051699332349,0.7952777852000108,0.7707589331428688,0.0003900805617160774,0.0012537632096338847
train_13,500,4,1.0,50,0.6283801935207741,0.644000096000384,0.6338318953275813,0.648812995251981,0.005451701806807208,0.004812899251597003
train_14,11108,15,0.0,20,0.7975249216637995,0.8044250066087149,0.7979942028651592,0.808462163267579,0.00046928120135969476,0.004037156658864172
train_15,500,24,1.0,70,0.8410969558065426,0.843626698522491,0.822452193234553,0.8277412789799734,-0.01864476257198966,-0.015885419542517543
train_16,1809,0,1.0,20,0.892160096009601,0.89325466058738,0.8833065706570657,0.8853693589100293,-0.008853525352535252,-0.007885301677350687
