dataset,n_train,n_object_cols,l2,msl,base_pub,base_prv,n_added_T5,cardT5_pub,cardT5_prv,cardT5_d_pub,cardT5_d_prv,n_added_T10,cardT10_pub,cardT10_prv,cardT10_d_pub,cardT10_d_prv
train_01,14957,5,0.0,20,0.7102870983349717,0.7048178137651822,0,0.7102870983349717,0.7048178137651822,0.0,0.0,0,0.7102870983349717,0.7048178137651822,0.0,0.0
train_02,14929,2,0.0,20,0.9643700590861614,0.9634800627240143,0,0.9643700590861614,0.9634800627240143,0.0,0.0,0,0.9643700590861614,0.9634800627240143,0.0,0.0
train_03,3501,7,0.0,20,0.79257860385303,0.8095448403699343,1,0.7853119087999609,0.8058958056903436,-0.007266695053069094,-0.003649034679590768,1,0.7853119087999609,0.8058958056903436,-0.007266695053069094,-0.003649034679590768
train_04,8775,0,0.0,20,0.8236471114650334,0.8249596159615962,0,0.8236471114650334,0.8249596159615962,0.0,0.0,0,0.8236471114650334,0.8249596159615962,0.0,0.0
train_05,1060,5,0.0,20,0.6531348175078051,0.6568729335399399,0,0.6531348175078051,0.6568729335399399,0.0,0.0,0,0.6531348175078051,0.6568729335399399,0.0,0.0
train_06,10803,9,0.0,20,0.7996932479509196,0.8137084747042992,0,0.7996932479509196,0.8137084747042992,0.0,0.0,0,0.7996932479509196,0.8137084747042992,0.0,0.0
train_07,10417,6,0.0,20,0.823647674944289,0.826507438189261,0,0.823647674944289,0.826507438189261,0.0,0.0,0,0.823647674944289,0.826507438189261,0.0,0.0
train_08,8173,12,0.0,20,0.8460265451826358,0.8411095500558378,0,0.8460265451826358,0.8411095500558378,0.0,0.0,0,0.8460265451826358,0.8411095500558378,0.0,0.0
train_09,1109,4,1.0,50,0.6204240363998369,0.6334741379351727,0,0.6204240363998369,0.6334741379351727,0.0,0.0,0,0.6204240363998369,0.6334741379351727,0.0,0.0
train_10,11800,0,0.0,20,0.8368071738891478,0.8477427122593616,0,0.8368071738891478,0.8477427122593616,0.0,0.0,0,0.8368071738891478,0.8477427122593616,0.0,0.0
train_11,28879,0,0.0,20,0.8281288505544799,0.8166544351437908,0,0.8281288505544799,0.8166544351437908,0.0,0.0,0,0.8281288505544799,0.8166544351437908,0.0,0.0
train_12,49432,3,0.0,20,0.7948877046382947,0.7695051699332349,0,0.7948877046382947,0.7695051699332349,0.0,0.0,1,0.7949574647387492,0.7699267710125337,6.976010045445236e-05,0.00042160107929878343
train_13,500,4,1.0,50,0.6283801935207741,0.644000096000384,1,0.6283801935207741,0.644000096000384,0.0,0.0,2,0.6149884599538399,0.631057084228337,-0.013391733566934239,-0.012943011772047042
train_14,11108,15,0.0,20,0.7975249216637995,0.8044250066087149,0,0.7975249216637995,0.8044250066087149,0.0,0.0,0,0.7975249216637995,0.8044250066087149,0.0,0.0
train_15,500,24,1.0,70,0.8410969558065426,0.843626698522491,0,0.8410969558065426,0.843626698522491,0.0,0.0,0,0.8410969558065426,0.843626698522491,0.0,0.0
train_16,1809,0,1.0,20,0.892160096009601,0.89325466058738,0,0.892160096009601,0.89325466058738,0.0,0.0,0,0.892160096009601,0.89325466058738,0.0,0.0
