dataset,n_train,n_object_cols,l2,msl,base_pub,base_prv,tol1e3_pub,tol1e3_prv,tol1e3_d_pub,tol1e3_d_prv,tol1e4_pub,tol1e4_prv,tol1e4_d_pub,tol1e4_d_prv
train_01,14957,5,0.0,20,0.7102870983349717,0.7048178137651822,0.7108612598048251,0.7054838296714726,0.0005741614698533404,0.0006660159062904514,0.7102870983349717,0.7048178137651822,0.0,0.0
train_02,14929,2,0.0,20,0.9643700590861614,0.9634800627240143,0.9625157763634875,0.9608261328725038,-0.00185428272267385,-0.0026539298515104726,0.9644548610399984,0.9634639016897081,8.48019538370881e-05,-1.6161034306239053e-05
train_03,3501,7,0.0,20,0.79257860385303,0.8095448403699343,0.7929819979963104,0.809441309172,0.0004033941432803889,-0.00010353119793438115,0.79257860385303,0.8095448403699343,0.0,0.0
train_04,8775,0,0.0,20,0.8236471114650334,0.8249596159615962,0.8241558569584989,0.826178297829783,0.0005087454934654678,0.001218681868186855,0.8236471114650334,0.8249596159615962,0.0,0.0
train_05,1060,5,0.0,20,0.6531348175078051,0.6568729335399399,0.6531348175078051,0.6568729335399399,0.0,0.0,0.6531348175078051,0.6568729335399399,0.0,0.0
train_06,10803,9,0.0,20,0.7996932479509196,0.8137084747042992,0.7998542079766733,0.8141787377107083,0.00016096002575372026,0.00047026300640906626,0.7996932479509196,0.8137084747042992,0.0,0.0
train_07,10417,6,0.0,20,0.823647674944289,0.826507438189261,0.823647674944289,0.826507438189261,0.0,0.0,0.823647674944289,0.826507438189261,0.0,0.0
train_08,8173,12,0.0,20,0.8460265451826358,0.8411095500558378,0.8461437014729682,0.8411800777325471,0.00011715629033248742,7.052767670934212e-05,0.8460265451826358,0.8411095500558378,0.0,0.0
train_09,1109,4,1.0,50,0.6204240363998369,0.6334741379351727,0.6204240363998369,0.6334741379351727,0.0,0.0,0.6204240363998369,0.6334741379351727,0.0,0.0
train_10,11800,0,0.0,20,0.8368071738891478,0.8477427122593616,0.8371444539431125,0.8466796892189814,0.00033728005396471694,-0.0010630230403801955,0.8368071738891478,0.8477427122593616,0.0,0.0
train_11,28879,0,0.0,20,0.8281288505544799,0.8166544351437908,0.8270975020402938,0.8132075151501179,-0.0010313485141861811,-0.003446919993672859,0.8281288505544799,0.8166544351437908,0.0,0.0
train_12,49432,3,0.0,20,0.7948877046382947,0.7695051699332349,0.7957664259036533,0.7706418128430408,0.0008787212653585952,0.0011366429098058628,0.795088024926756,0.7704011722270009,0.00020032028846128647,0.0008960022937659629
train_13,500,4,1.0,50,0.6283801935207741,0.644000096000384,0.6283801935207741,0.644000096000384,0.0,0.0,0.6283801935207741,0.644000096000384,0.0,0.0
train_14,11108,15,0.0,20,0.7975249216637995,0.8044250066087149,0.7979086026460228,0.8048971376744107,0.00038368098222330005,0.0004721310656958799,0.7975249216637995,0.8044250066087149,0.0,0.0
train_15,500,24,1.0,70,0.8410969558065426,0.843626698522491,0.8412725432602188,0.8442424006718148,0.00017558745367618478,0.0006157021493238268,0.8410969558065426,0.843626698522491,0.0,0.0
train_16,1809,0,1.0,20,0.892160096009601,0.89325466058738,0.8835552355235524,0.8858138491510845,-0.008604860486048582,-0.007440811436295491,0.885236203620362,0.8872266817027464,-0.0069238923892389614,-0.006027978884633578
