dataset,n_train,n_object_cols,gate_c,l2,msl,base_pub,base_prv,probmean_pub,probmean_prv,probmean_d_pub,probmean_d_prv,marginmean_pub,marginmean_prv,marginmean_d_pub,marginmean_d_prv,margin_minus_prob_pub,margin_minus_prob_prv
train_01,14957,5,True,0.0,20,0.7102870983349717,0.7048178137651822,0.7139514277156549,0.7085393096605912,0.0036643293806831734,0.003721495895409044,0.7139539877222085,0.708593077403146,0.0036668893872368047,0.003775263637963877,2.560006553631311e-06,5.37677425548333e-05
train_02,14929,2,True,0.0,20,0.9643700590861614,0.9634800627240143,0.9687919209658591,0.9675616039426523,0.0044218618796977305,0.0040815412186380184,0.968787600866324,0.9675435227854583,0.004417541780162626,0.00406346006144398,-4.320099535104482e-06,-1.808115719403869e-05
train_03,3501,7,True,0.0,20,0.79257860385303,0.8095448403699343,0.800472551996801,0.8168217874445299,0.007893948143770979,0.0072769470745955855,0.8005147955722971,0.8169635627789502,0.007936191719267072,0.0074187224090158654,4.224357549609259e-05,0.0001417753344202799
train_04,8775,0,False,0.0,20,0.8236471114650334,0.8249596159615962,0.8309401437482076,0.8345173717371738,0.007293032283174128,0.009557755775577603,0.8310163195440207,0.8344728872887288,0.007369208078987222,0.009513271327132644,7.617579581309375e-05,-4.4484448444959135e-05
train_05,1060,5,True,0.0,20,0.6531348175078051,0.6568729335399399,0.6615313025145798,0.6652052653654373,0.008396485006774701,0.008332331825497419,0.6614875645635441,0.6653420892056232,0.008352747055738963,0.008469155665683292,-4.37379510357383e-05,0.00013682384018587346
train_06,10803,9,True,0.0,20,0.7996932479509196,0.8137084747042992,0.8002022080323533,0.8142076240379693,0.0005089600814337514,0.0004991493336701236,0.8002002880320459,0.8142274683846751,0.000507040081126342,0.0005189936803758899,-1.920000307409353e-06,1.984434670576629e-05
train_07,10417,6,True,0.0,20,0.823647674944289,0.826507438189261,0.8296328480382154,0.8290131070309641,0.0059851730939263215,0.0025056688417031125,0.8297107833135295,0.8290862430506779,0.006063108369240511,0.002578804861416928,7.793527531418931e-05,7.313601971381534e-05
train_08,8173,12,True,0.0,20,0.8460265451826358,0.8411095500558378,0.8496766358347162,0.8428299930753188,0.00365009065208044,0.0017204430194810438,0.8496902400487576,0.8428616945054856,0.003663694866121836,0.0017521444496478855,1.3604214041396112e-05,3.170143016684168e-05
train_09,1109,4,True,1.0,50,0.6204240363998369,0.6334741379351727,0.6315217427831703,0.6427789544830282,0.011097706383333406,0.009304816547855532,0.6315246232260672,0.6426411847619968,0.011100586826230274,0.009167046826824121,2.880442896868729e-06,-0.00013776972103141105
train_10,11800,0,False,0.0,20,0.8368071738891478,0.8477427122593616,0.8451834952293593,0.858015294538033,0.00837632134021149,0.01027258227867145,0.8451932552309207,0.8579744890472462,0.008386081341772877,0.010231776787884561,9.760001561387455e-06,-4.080549078688822e-05
train_11,28879,0,False,0.0,20,0.8281288505544799,0.8166544351437908,0.8322891296346674,0.8219660219821598,0.004160279080187457,0.005311586838369076,0.8322878494503207,0.8219922781307415,0.004158998895840815,0.005337842986950725,-1.2801843466414553e-06,2.6256148581649263e-05
train_12,49432,3,True,0.0,20,0.7948877046382947,0.7695051699332349,0.7964709069181061,0.7718418959152535,0.0015832022798113465,0.002336725982018617,0.7965102669747844,0.7718287758816662,0.001622562336489719,0.0023236059484312843,3.93600566783725e-05,-1.3120033587332713e-05
train_13,500,4,True,1.0,50,0.6283801935207741,0.644000096000384,0.6357132628530514,0.6502162808651235,0.007333069332277287,0.006216184864739516,0.6355835023340093,0.650124920499682,0.007203308813235165,0.006124824499297965,-0.00012976051904212138,-9.136036544155068e-05
train_14,11108,15,True,0.0,20,0.7975249216637995,0.8044250066087149,0.8010366106537233,0.8084732044617946,0.0035116889899238224,0.004048197853079749,0.8010614107172114,0.8084847257079326,0.003536489053411862,0.004059719099217762,2.4800063488039648e-05,1.1521246138013197e-05
train_15,500,24,True,1.0,70,0.8410969558065426,0.843626698522491,0.8525452737923801,0.8573192293208023,0.011448317985837453,0.013692530798311342,0.8525099002032621,0.8573579607791169,0.011412944396719471,0.013731262256625909,-3.537358911798183e-05,3.8731458314567035e-05
train_16,1809,0,False,1.0,20,0.892160096009601,0.89325466058738,0.8915878787878788,0.8895427350646159,-0.0005722172217221821,-0.0037119255227641146,0.8921204120412042,0.8902619516353656,-3.968396839681976e-05,-0.0029927089520144223,0.0005325332533253624,0.0007192165707496923
