dataset,n_train,n_object_cols,gate_d_fires,base_public,base_private,rank_public,rank_private,prob_public,prob_private,logit_public,logit_private
train_01,14957,5,False,0.7102870983349717,0.7048178137651822,0.7122455033484886,0.7042363700372853,0.7123477436102237,0.7043889520090892,0.712456703889162,0.7043993535069051
train_02,14929,2,False,0.9643700590861614,0.9634800627240143,0.9592052200882709,0.959371079749104,0.9618655213816127,0.9613872887864824,0.96331771484015,0.9628904249871991
train_03,3501,7,True,0.79257860385303,0.8095448403699343,0.7973305260557253,0.813403097679045,0.7971953146114288,0.8131503503418929,0.7970823450496851,0.8133522921839227
train_04,8775,0,False,0.8236471114650334,0.8249596159615962,0.8259218231492482,0.8298090609060906,0.8265558746261625,0.830060606060606,0.8270034874431562,0.8302267026702671
train_05,1060,5,True,0.6531348175078051,0.6568729335399399,0.6620896422924518,0.6726431213374617,0.6621940205895203,0.6722502528840626,0.6625596250007411,0.6723877168357815
train_06,10803,9,False,0.7996932479509196,0.8137084747042992,0.7942131670741067,0.8066179615983083,0.7937860470057675,0.8061775451294853,0.7929860468777676,0.8049572778421386
train_07,10417,6,False,0.823647674944289,0.826507438189261,0.8249756952362663,0.82567293539977,0.8253742533536573,0.8263667673767261,0.8257340038647576,0.8266737146104484
train_08,8173,12,False,0.8460265451826358,0.8411095500558378,0.8454978214051585,0.8404727195584216,0.8458087177083974,0.8407088792023407,0.8458495303505214,0.8407834896389961
train_09,1109,4,True,0.6204240363998369,0.6334741379351727,0.6299058943303123,0.6453987393350474,0.6299474207154092,0.6448317393275269,0.6299069344902473,0.6446251647516249
train_10,11800,0,False,0.8368071738891478,0.8477427122593616,0.829337012693922,0.8442830467267677,0.8339343734294997,0.847597732750919,0.8349058935849429,0.8483189497978847
train_11,28879,0,False,0.8281288505544799,0.8166544351437908,0.8312371381478934,0.8168811345730078,0.831583908082764,0.8174802230363764,0.8318783504824694,0.8177832894343336
train_12,49432,3,False,0.7948877046382947,0.7695051699332349,0.7898967374513018,0.7666770026931269,0.7893680966900591,0.7663638018913328,0.7891074563147371,0.7661372413113376
train_13,500,4,True,0.6283801935207741,0.644000096000384,0.6287749150996604,0.6462961051844207,0.6293659574638298,0.6464808259233037,0.6293001972007888,0.6465894663578654
train_14,11108,15,False,0.7975249216637995,0.8044250066087149,0.7902390630120013,0.7967803397615485,0.7959937177439176,0.8024395918662561,0.7969838002785287,0.803171190996018
train_15,500,24,True,0.8410969558065426,0.843626698522491,0.8531912019321344,0.8573863691834592,0.852035477949209,0.8556492952875179,0.8515027933130791,0.8550988924563443
train_16,1809,0,False,0.892160096009601,0.89325466058738,0.887103190319032,0.8851527139185288,0.8885021302130214,0.8872814029635244,0.8916877287728774,0.8912877352694206
