dataset,n_train,n_object_cols,gate_c,gate_dprime,gate_c_only,base_public,base_private,A_public,A_private,B_public,B_private,AB_public,AB_private,dA_public,dA_private,dB_public,dB_private,dAB_public,dAB_private
train_01,14957,5,True,False,True,0.7102870983349717,0.7048178137651822,0.7139514277156549,0.7085393096605912,0.7122455033484886,0.7042363700372853,0.7129797452281477,0.7050693699892785,0.0036643293806831734,0.003721495895409044,0.0019584050135168507,-0.0005814437278968132,0.002692646893175943,0.0002515562240963387
train_02,14929,2,True,False,True,0.9643700590861614,0.9634800627240143,0.9687919209658591,0.9675616039426523,0.9592052200882709,0.959371079749104,0.9606436532297705,0.9606452412954429,0.0044218618796977305,0.0040815412186380184,-0.005164838997890442,-0.004108982974910358,-0.0037264058563908353,-0.002834821428571388
train_03,3501,7,True,True,False,0.79257860385303,0.8095448403699343,0.800472551996801,0.8168217874445299,0.7973305260557253,0.813403097679045,0.7999636289215519,0.8156415797932705,0.007893948143770979,0.0072769470745955855,0.004751922202695269,0.003858257309110602,0.0073850250685219,0.006096739423336106
train_04,8775,0,False,False,False,0.8236471114650334,0.8249596159615962,0.8309401437482076,0.8345173717371738,0.8259218231492482,0.8298090609060906,0.827636418687779,0.8328026402640264,0.007293032283174128,0.009557755775577603,0.0022747116842147808,0.004849444944494463,0.003989307222745597,0.007843024302430224
train_05,1060,5,True,True,False,0.6531348175078051,0.6568729335399399,0.6615313025145798,0.6652052653654373,0.6620896422924518,0.6726431213374617,0.6647037458751347,0.67492087821382,0.008396485006774701,0.008332331825497419,0.008954824784646709,0.015770187797521817,0.01156892836732959,0.018047944673880045
train_06,10803,9,True,False,True,0.7996932479509196,0.8137084747042992,0.8002022080323533,0.8142076240379693,0.794213087074094,0.8066179615983083,0.7942959670873546,0.8066210822818629,0.0005089600814337514,0.0004991493336701236,-0.005480160876825568,-0.007090513105990848,-0.005397280863564946,-0.007087392422436278
train_07,10417,6,True,False,True,0.823647674944289,0.826507438189261,0.8296328480382154,0.8290131070309641,0.8249756952362663,0.82567293539977,0.827287668383003,0.8261892084842264,0.0059851730939263215,0.0025056688417031125,0.0013280202919773165,-0.0008345027894909318,0.0036399934387140176,-0.00031822970503458947
train_08,8173,12,True,False,True,0.8460265451826358,0.8411095500558378,0.8496766358347162,0.8428299930753188,0.8454978214051585,0.8404727195584216,0.846789261441624,0.8407228886727427,0.00365009065208044,0.0017204430194810438,-0.000528723777477258,-0.000636830497416141,0.0007627162589882719,-0.00038666138309506604
train_09,1109,4,True,True,False,0.6204240363998369,0.6334741379351727,0.6315217427831703,0.6427789544830282,0.6299058943303123,0.6453987393350474,0.6335766187408977,0.6480397256830441,0.011097706383333406,0.009304816547855532,0.009481857930475401,0.011924601399874724,0.013152582341060759,0.014565587747871422
train_10,11800,0,False,False,False,0.8368071738891478,0.8477427122593616,0.8451834952293593,0.858015294538033,0.829337012693922,0.8442830467267677,0.8313799730207957,0.8472502459931008,0.00837632134021149,0.01027258227867145,-0.007470161195225811,-0.003459665532593914,-0.005427200868352133,-0.0004924662662607604
train_11,28879,0,False,False,False,0.8281288505544799,0.8166544351437908,0.8322891296346674,0.8219660219821598,0.8312371381478934,0.8168811345730078,0.8312164151637835,0.8176245518043417,0.004160279080187457,0.005311586838369076,0.003108287593413417,0.00022669942921704767,0.0030875646093035947,0.0009701166605509126
train_12,49432,3,True,False,True,0.7948877046382947,0.7695051699332349,0.7964709069181061,0.7718418959152535,0.7898967374513018,0.7666770026931269,0.7905971384598793,0.7677018853168264,0.0015832022798113465,0.002336725982018617,-0.0049909671869928784,-0.002828167240108037,-0.004290566178415389,-0.0018032846164085514
train_13,500,4,True,True,False,0.6283801935207741,0.644000096000384,0.6357132628530514,0.6502162808651235,0.6287749150996604,0.6462961051844207,0.6323589294357177,0.6487065148260593,0.007333069332277287,0.006216184864739516,0.00039472157888631454,0.002296009184036718,0.003978735914943576,0.004706418825675351
train_14,11108,15,True,False,True,0.7975249216637995,0.8044250066087149,0.8010366106537233,0.8084732044617946,0.7902390630120013,0.7967803397615485,0.7912008254741132,0.7980021519127508,0.0035116889899238224,0.004048197853079749,-0.007285858651798205,-0.007644666847166359,-0.0063240961896863235,-0.006422854695964042
train_15,500,24,True,True,False,0.8410969558065426,0.843626698522491,0.8525452737923801,0.8573192293208023,0.8531912019321344,0.8573863691834592,0.8567908247632412,0.8621707445930804,0.011448317985837453,0.013692530798311342,0.012094246125591734,0.013759670660968282,0.015693868956698553,0.01854404607058946
train_16,1809,0,False,False,False,0.892160096009601,0.89325466058738,0.8915878787878788,0.8895427350646159,0.887103190319032,0.8851527139185288,0.884461086108611,0.8810272588680443,-0.0005722172217221821,-0.0037119255227641146,-0.005056905690569047,-0.008101946668851223,-0.007699009900990039,-0.012227401719335673
