dataset,gate_fired,prv_A_orgate,prv_A_orgate_seedwin,prv_A_orgate_K20,prv_spread,prv_stdev_across_cfg,prv_mean_across_cfg,prv_round83_sigma,prv_sigma_multiple,prv_flag,pub_A_orgate,pub_A_orgate_seedwin,pub_A_orgate_K20,pub_spread,pub_stdev_across_cfg,pub_mean_across_cfg,pub_round83_sigma,pub_sigma_multiple,pub_flag
train_01,True,0.0037214959,0.0036786097,0.0039122434,0.00023363364,0.00012437075,0.003770783,0.0010367743,3.6370337,strong>2sigma,0.0036643294,0.0039676902,0.0040676904,0.00040336103,0.00021005076,0.0038999033,0.0017890127,2.1799193,strong>2sigma
train_02,True,0.0040815412,0.0043964414,0.0044614055,0.00037986431,0.00020317453,0.0043131294,0.00079057028,5.4557191,strong>2sigma,0.0044218619,0.0054343652,0.0051348383,0.0010125033,0.00052013055,0.0049970218,0.0013955051,3.5807979,strong>2sigma
train_03,True,0.0072769471,0.0066797625,0.0074465654,0.00076680294,0.00040277921,0.007134425,0.001229034,5.8049046,strong>2sigma,0.0078939481,0.0077014519,0.0081411691,0.00043971722,0.00022042544,0.0079121897,0.0031268376,2.5304127,strong>2sigma
train_04,True,0.0095577558,0.0083494749,0.0093313331,0.0012082808,0.00064229475,0.0090795213,0.0021041567,4.3150405,strong>2sigma,0.0072930323,0.0074703491,0.0077969768,0.0005039445,0.00025563221,0.0075201194,0.001829172,4.111215,strong>2sigma
train_05,True,0.0083323318,0.0076576543,0.0084385103,0.00078085606,0.00042351699,0.0081428321,0.0064062323,1.2710797,real>1sigma,0.008396485,0.0082897836,0.008751996,0.00046221241,0.00024201019,0.0084794216,0.0067189364,1.2620184,real>1sigma
train_06,True,0.00049914933,0.00077857054,0.00068655038,0.0002794212,0.00014239796,0.00065475675,0.00095991319,0.68209996,within_jitter<=1sigma,0.00050896008,0.0010758402,0.00092000015,0.00056688009,0.0002928575,0.00083493347,0.0013715793,0.60873874,within_jitter<=1sigma
train_07,True,0.0025056688,0.0034841232,0.0033287291,0.00097845432,0.00052582449,0.0031061737,0.0024529265,1.2663134,real>1sigma,0.0059851731,0.0049347272,0.005887714,0.0010504459,0.00058039048,0.0056025381,0.0011089154,5.0522683,strong>2sigma
train_08,True,0.001720443,0.0014546634,0.0017234851,0.00026882172,0.00015433362,0.0016328638,0.0011333917,1.440688,real>1sigma,0.0036500907,0.0031526566,0.0035263723,0.00049743409,0.00025897566,0.0034430398,0.00091617306,3.7580671,strong>2sigma
train_09,True,0.0093048165,0.01218486,0.01134096,0.0028800432,0.0014805796,0.010943546,0.0045130826,2.4248494,strong>2sigma,0.011097706,0.010651078,0.011431998,0.00078092007,0.00039180439,0.011060261,0.0054080061,2.0451642,strong>2sigma
train_10,True,0.010272582,0.011430818,0.01152187,0.0012492881,0.00069648182,0.01107509,0.0022469937,4.928848,strong>2sigma,0.0083763213,0.010078082,0.0097128016,0.0017017603,0.00089587917,0.0093890682,0.0019385683,4.8433002,strong>2sigma
train_11,True,0.0053115868,0.0049755402,0.0055067469,0.00053120671,0.00026869914,0.0052646246,0.0012010263,4.3834381,strong>2sigma,0.0041602791,0.0040353011,0.0044870461,0.00045174505,0.00023326301,0.0042275421,0.0016062077,2.6320021,strong>2sigma
train_12,True,0.002336726,0.0024359262,0.0024402462,0.00010352027,5.8560223e-05,0.0024042995,0.00083385846,2.8833424,strong>2sigma,0.0015832023,0.00095088137,0.0013148819,0.00063232091,0.00031736465,0.0012829885,0.00053570166,2.3949683,strong>2sigma
train_13,True,0.0062161849,0.0030930524,0.0047908192,0.0031231325,0.0015635449,0.0047000188,0.0053898002,0.87202098,within_jitter<=1sigma,0.0073330693,0.0049365797,0.0062663451,0.0023964896,0.0012006484,0.0061786647,0.0055145238,1.1204349,real>1sigma
train_14,True,0.0040481979,0.0032221885,0.0040086736,0.00082600934,0.00046590635,0.0037596866,0.00221792,1.6951408,real>1sigma,0.003511689,0.0047468922,0.0044291313,0.0012352032,0.00064140461,0.0042292375,0.0021432876,1.9732478,real>1sigma
train_15,True,0.013692531,0.014326318,0.014454516,0.00076198543,0.00040799164,0.014157788,0.0045506,3.1111916,strong>2sigma,0.011448318,0.0124415,0.012314731,0.00099318154,0.00054054773,0.012068183,0.0043189874,2.7942158,strong>2sigma
train_16,False,0,0,0,0,0,0,0.0079717518,0,within_jitter<=1sigma,0,0,0,0,0,0,0.007800884,0,within_jitter<=1sigma
